Age,AnnualIncome_k,SpendingScore,Frequency,Recency,cluster
56,55.6,43,4,106,0
69,65.4,75,6,217,0
46,88.9,23,2,205,0
32,28.1,55,3,70,2
60,63.3,80,3,44,2
25,63.2,95,2,329,1
38,87.6,75,3,301,1
56,53.2,16,1,228,3
36,79.6,8,3,184,0
40,93.1,4,1,107,2
28,10.0,4,3,84,2
28,95.1,56,3,338,1
41,30.4,25,3,250,3
53,27.2,67,6,363,3
57,10.0,96,3,21,2
41,35.9,67,1,196,2
20,59.9,27,3,178,2
39,48.5,93,3,7,2
19,46.1,32,3,70,2
41,26.6,50,2,127,2
61,86.0,61,4,160,0
47,88.8,51,4,248,1
55,72.5,19,5,203,0
19,10.0,21,1,148,2
38,128.2,5,8,143,0
50,64.4,82,2,199,1
29,76.2,92,5,154,1
39,15.1,42,7,142,0
61,59.7,61,2,313,3
42,72.4,22,3,165,0
66,55.8,21,7,314,0
44,86.2,70,1,21,2
59,99.0,1,5,82,0
45,19.7,5,3,69,2
33,85.5,12,3,131,0
32,71.8,90,4,87,2
64,59.9,46,2,218,3
68,12.9,34,7,305,3
61,104.4,49,3,345,1
69,71.9,78,1,341,3
20,10.0,90,2,161,2
54,52.7,45,5,178,0
68,69.8,27,3,117,0
24,75.2,73,2,196,1
38,56.2,26,8,327,0
26,70.2,47,3,86,2
56,123.6,86,5,289,1
35,106.4,56,3,81,1
21,31.5,94,2,152,2
42,42.1,63,1,61,2
31,56.7,48,1,61,2
67,10.0,61,1,354,3
26,19.8,81,5,28,2
43,11.3,26,10,43,0
19,25.6,36,1,169,2
37,101.7,1,4,86,0
45,34.3,8,2,177,3
64,29.2,99,1,17,2
24,86.5,52,2,98,2
61,46.5,79,4,198,3
25,72.6,47,5,98,0
64,38.2,56,6,65,0
52,10.0,86,4,330,3
31,74.0,14,3,341,3
34,13.5,90,1,5,2
53,44.7,28,1,2,2
67,38.0,87,1,22,2
57,65.9,78,3,112,2
21,43.3,88,1,57,2
19,56.2,2,2,66,2
23,13.2,26,5,330,3
59,120.0,14,1,98,0
21,24.0,59,1,144,2
46,96.0,56,3,125,1
35,64.5,7,7,167,0
43,64.2,3,4,86,0
61,70.6,23,1,76,2
51,10.0,18,1,344,3
27,89.0,38,5,294,1
53,44.7,99,3,59,2
31,96.3,15,6,138,0
48,55.5,64,4,99,2
65,48.8,89,1,192,3
32,21.3,28,1,243,3
25,37.0,74,4,319,1
31,72.7,39,1,49,2
40,20.8,57,1,32,2
57,10.0,17,4,277,3
38,34.3,86,2,20,2
33,85.2,90,8,154,1
62,113.4,44,1,68,2
35,39.7,25,3,214,3
64,13.5,17,5,143,3
41,49.7,13,1,232,3
43,65.5,84,3,213,1
42,77.3,25,3,79,0
62,124.0,68,1,214,1
58,66.8,10,2,116,0
46,109.7,67,1,92,1
32,46.1,18,2,270,3
62,62.6,100,1,168,1
18,42.2,86,3,58,2
42,39.6,34,5,284,3
24,52.1,8,3,26,2
26,51.6,40,3,66,2
41,41.9,83,4,248,1
18,43.5,42,4,254,1
61,92.9,41,3,44,0
25,123.4,6,6,97,0
41,45.0,52,3,42,2
28,50.3,26,7,227,0
68,75.7,64,5,262,0
34,150.0,98,2,167,1
25,62.5,59,1,279,1
52,89.2,56,2,89,2
52,106.3,59,1,178,1
50,70.3,70,4,197,1
22,87.8,33,1,307,1
59,78.2,53,4,267,3
56,91.0,22,2,268,3
58,29.0,21,3,74,3
45,66.1,70,6,8,0
24,74.4,70,5,297,1
26,74.0,4,1,164,2
25,94.1,94,2,85,1
29,73.4,75,3,72,2
51,25.7,62,3,55,2
50,77.7,62,3,47,2
65,33.5,94,1,238,3
40,39.0,95,4,104,2
41,47.4,24,6,210,0
54,56.7,55,6,42,0
52,13.7,9,1,316,3
61,93.5,3,3,268,0
57,25.3,31,4,263,3
39,107.1,40,3,336,1
44,26.3,36,1,259,3
52,98.5,24,4,283,0
18,59.1,95,2,114,2
52,10.0,6,2,363,3
54,28.7,66,7,40,0
64,99.8,84,2,220,1
31,73.5,92,6,129,1
20,57.6,75,4,8,2
18,10.0,4,4,101,2
22,101.7,79,2,176,1
43,116.1,6,1,107,0
31,110.6,94,4,101,1
56,41.5,51,4,260,3
44,71.5,62,3,246,1
26,74.8,57,3,275,1
32,14.2,66,2,32,2
32,65.4,79,4,137,1
43,92.1,75,3,12,2
59,82.9,8,6,302,0
30,26.7,26,2,16,2
68,34.1,51,1,129,3
49,83.7,45,1,63,2
56,79.0,44,1,109,2
66,10.0,5,5,21,0
69,10.0,70,3,158,3
49,57.7,26,3,269,3
21,42.3,68,1,162,2
47,51.1,19,3,260,3
54,47.7,84,2,102,2
40,89.5,97,5,223,1
56,63.1,20,4,59,0
62,68.0,12,7,247,0
32,19.7,47,2,128,2
60,10.0,1,4,283,3
46,93.7,90,4,325,1
53,124.3,14,5,25,0
30,49.7,64,4,131,2
49,67.5,38,4,353,3
24,69.7,37,1,196,2
68,110.3,11,3,281,0
39,86.7,100,6,154,1
45,74.9,77,2,133,2
19,61.7,3,5,227,0
59,61.8,33,3,189,3
62,16.8,6,3,265,3
23,48.5,50,2,134,2
45,86.6,10,6,211,0
45,53.0,5,5,60,0
61,61.3,23,3,364,3
61,24.7,10,4,364,3
37,73.4,44,3,213,1
47,16.1,2,1,216,3
28,68.7,13,5,226,0
45,54.4,40,4,131,0
42,10.0,2,6,76,0
56,92.1,84,2,286,1
50,55.1,65,3,277,3
18,115.8,63,2,156,1
44,104.3,73,3,248,1
69,33.6,17,1,218,3
30,36.2,9,5,190,0
58,24.8,75,5,163,3
20,12.4,15,3,180,2
56,47.3,24,3,34,2
23,103.3,38,2,41,2
25,10.0,35,4,307,3
44,85.6,94,2,338,1
26,83.1,95,4,314,1
54,76.6,49,2,75,2
50,82.0,69,3,279,1
68,26.9,62,2,176,3
59,82.8,60,4,150,0
